dig_des,dep_id,total_visits,readmissions,readmission_rate_pct,avg_bill_amount
Hepatic,DPT237,132,25,18.9,13593.75
Ophthalmology,DPT589,164,31,18.9,13395.35
Musculoskeletal,DPT104,132,25,18.9,12700.0
Endoscopy,DPT794,122,23,18.9,14176.47
Toxicology,DPT845,148,28,18.9,11868.42
Reproductive - Male,DPT337,164,31,18.9,11022.73
Endoscopy,DPT520,143,27,18.9,12333.33
Immunology,DPT520,148,28,18.9,14405.41
Occupational Health,DPT794,143,27,18.9,13025.64
Sleep Disorders,DPT364,127,24,18.9,15060.61
Hematology,DPT794,148,28,18.9,15488.37
Allergy,DPT589,159,30,18.9,13295.45
Reproductive - Female,DPT913,122,23,18.9,12666.67
Respiratory,DPT110,138,26,18.8,10297.3
Immunology,DPT802,128,24,18.8,13656.25
Pain Management,DPT520,149,28,18.8,13723.4
Gastrointestinal,DPT794,133,25,18.8,12000.0
Renal,DPT913,138,26,18.8,14750.0
Neuromuscular,DPT915,154,29,18.8,15515.15
Oral,DPT731,128,24,18.8,14833.33
Pediatrics,DPT681,138,26,18.8,14022.22
Metabolic Disorders,DPT119,144,27,18.8,13636.36
Preventive,DPT794,112,21,18.8,14437.5
Gastrointestinal,DPT678,133,25,18.8,14418.6
Pain Management,DPT256,144,27,18.8,16575.0
Infectious,DPT731,138,26,18.8,14405.41
Trauma,DPT364,138,26,18.8,12787.88
Endocrine,DPT119,133,25,18.8,12526.32
Neuromuscular,DPT337,107,20,18.7,12709.68
Infectious,DPT678,123,23,18.7,11461.54
Hematology,DPT103,139,26,18.7,11577.78
Neurological,DPT237,123,23,18.7,13846.15
Cardiac Electrophysiology,DPT337,134,25,18.7,14317.07
Cardiac Electrophysiology,DPT859,150,28,18.7,11972.22
Neurological,DPT305,123,23,18.7,13133.33
Oncology,DPT337,123,23,18.7,13785.71
Cardiac Electrophysiology,DPT237,134,25,18.7,14419.35
Cardiovascular,DPT369,139,26,18.7,13550.0
Occupational Health,DPT678,139,26,18.7,12928.57
Autoimmune Disorders,DPT845,134,25,18.7,12370.37
Musculoskeletal,DPT520,171,32,18.7,10595.74
Endocrine,DPT731,166,31,18.7,12024.39
Psychiatric,DPT589,156,29,18.6,14687.5
Gastrointestinal,DPT119,156,29,18.6,13105.26
Respiratory,DPT217,140,26,18.6,13272.73
Urinary,DPT913,129,24,18.6,12171.43
Neurological,DPT110,129,24,18.6,11250.0
Ophthalmology,DPT859,140,26,18.6,11181.82
Gastrointestinal,DPT104,129,24,18.6,15314.29
Obstetrics,DPT412,119,22,18.5,11361.11
Oncology,DPT902,119,22,18.5,13068.97
Renal,DPT731,124,23,18.5,11703.7
Ophthalmology,DPT256,151,28,18.5,13285.71
Pain Management,DPT915,162,30,18.5,10564.1
Immunology,DPT369,135,25,18.5,15840.0
Endoscopy,DPT418,168,31,18.5,12574.47
Infectious,DPT256,130,24,18.5,11133.33
Hematology,DPT305,124,23,18.5,13250.0
Preventive,DPT589,146,27,18.5,11387.1
Endocrine,DPT678,135,25,18.5,12275.0
Urinary,DPT678,146,27,18.5,12239.13
Hematology,DPT859,146,27,18.5,12097.56
Hematology,DPT119,130,24,18.5,11241.38
Cardiac Electrophysiology,DPT742,135,25,18.5,14894.74
Addiction,DPT103,135,25,18.5,13684.21
Ophthalmology,DPT369,114,21,18.4,14750.0
Congenital,DPT305,125,23,18.4,17406.25
Ophthalmology,DPT337,114,21,18.4,12771.43
Immunology,DPT478,125,23,18.4,11161.29
Preventive,DPT223,141,26,18.4,11055.56
Preventive,DPT369,125,23,18.4,13189.19
Reproductive - Female,DPT526,141,26,18.4,11000.0
Ophthalmology,DPT526,125,23,18.4,14896.55
Musculoskeletal,DPT681,114,21,18.4,13657.14
Reproductive - Male,DPT845,147,27,18.4,11631.58
Respiratory,DPT731,147,27,18.4,11476.19
Preventive,DPT412,120,22,18.3,13937.5
Endocrine,DPT369,120,22,18.3,13642.86
Reconstructive,DPT104,126,23,18.3,13187.5
Obstetrics,DPT520,164,30,18.3,11765.96
Infectious,DPT913,104,19,18.3,9950.0
Gastrointestinal,DPT217,153,28,18.3,14850.0
Endoscopy,DPT526,131,24,18.3,11392.86
Geriatrics,DPT217,153,28,18.3,11645.16
Cardiovascular,DPT802,126,23,18.3,13606.06
Metabolic Disorders,DPT478,109,20,18.3,11703.7
Endocrine,DPT237,131,24,18.3,12562.5
Sleep Disorders,DPT794,137,25,18.2,16085.71
Reproductive - Female,DPT859,110,20,18.2,14870.97
Trauma,DPT110,121,22,18.2,18344.83
Otolaryngology,DPT794,165,30,18.2,12346.94
Congenital,DPT678,143,26,18.2,12419.35
Pediatrics,DPT103,132,24,18.2,11400.0
Musculoskeletal,DPT110,137,25,18.2,13842.11
Oral,DPT859,137,25,18.2,12048.78
Occupational Health,DPT526,154,28,18.2,15875.0
Congenital,DPT237,137,25,18.2,11974.36
Reproductive - Female,DPT256,143,26,18.2,13170.73
Urinary,DPT589,143,26,18.2,15948.72
Urinary,DPT520,159,29,18.2,12236.84
Toxicology,DPT217,132,24,18.2,12000.0
Otolaryngology,DPT305,138,25,18.1,12775.0
Reconstructive,DPT845,155,28,18.1,14428.57
Preventive,DPT418,177,32,18.1,11725.0
Oncology,DPT859,138,25,18.1,13447.37
Occupational Health,DPT103,155,28,18.1,13468.09
Infectious,DPT859,138,25,18.1,11600.0
Cardiac Electrophysiology,DPT364,144,26,18.1,12486.49
Otolaryngology,DPT742,138,25,18.1,13052.63
Obstetrics,DPT237,138,25,18.1,10676.47
Oral,DPT364,149,27,18.1,9687.5
Renal,DPT589,144,26,18.1,12131.58
Hematology,DPT624,144,26,18.1,13825.0
Endocrine,DPT845,133,24,18.0,13375.0
Metabolic Disorders,DPT678,128,23,18.0,13303.03
Reproductive - Female,DPT915,167,30,18.0,12058.82
Hepatic,DPT526,150,27,18.0,11210.53
Palliative,DPT526,139,25,18.0,13000.0
Obstetrics,DPT337,122,22,18.0,16800.0
Geriatrics,DPT369,128,23,18.0,13525.0
Reconstructive,DPT364,139,25,18.0,15263.16
Neuromuscular,DPT103,122,22,18.0,11289.47
Hepatic,DPT913,128,23,18.0,13292.68
Occupational Health,DPT337,128,23,18.0,13941.18
Radiology,DPT478,133,24,18.0,12461.54
Renal,DPT742,133,24,18.0,11789.47
Immunology,DPT217,139,25,18.0,14750.0
Toxicology,DPT794,128,23,18.0,13900.0
Endoscopy,DPT845,140,25,17.9,13945.95
Urinary,DPT412,112,20,17.9,9923.08
Geriatrics,DPT418,168,30,17.9,14714.29
Radiology,DPT119,151,27,17.9,14677.42
Reproductive - Male,DPT369,140,25,17.9,15939.39
Allergy,DPT478,134,24,17.9,13200.0
Neuromuscular,DPT624,145,26,17.9,13175.0
Toxicology,DPT110,117,21,17.9,15000.0
Geriatrics,DPT119,151,27,17.9,10800.0
Respiratory,DPT915,151,27,17.9,12142.86
Neuromuscular,DPT913,134,24,17.9,13343.75
Allergy,DPT256,156,28,17.9,15090.91
Neurological,DPT794,134,24,17.9,15142.86
Geriatrics,DPT589,156,28,17.9,11080.0
Pediatrics,DPT624,134,24,17.9,11593.75
Urinary,DPT526,117,21,17.9,12548.39
Toxicology,DPT589,184,33,17.9,9764.71
Reproductive - Male,DPT478,117,21,17.9,12800.0
Neurological,DPT104,134,24,17.9,12000.0
Oral,DPT305,129,23,17.8,14000.0
Reconstructive,DPT237,101,18,17.8,12459.46
Cardiac Electrophysiology,DPT520,169,30,17.8,11519.23
Addiction,DPT678,135,24,17.8,13638.89
Geriatrics,DPT845,163,29,17.8,14000.0
Reproductive - Male,DPT913,118,21,17.8,12000.0
Gastrointestinal,DPT915,157,28,17.8,10953.49
Reproductive - Male,DPT104,135,24,17.8,13066.67
Endocrine,DPT624,146,26,17.8,13058.82
Preventive,DPT119,157,28,17.8,11877.55
Metabolic Disorders,DPT412,118,21,17.8,14758.62
Reproductive - Male,DPT681,129,23,17.8,11682.93
Renal,DPT624,141,25,17.7,13179.49
Metabolic Disorders,DPT418,158,28,17.7,11500.0
Hepatic,DPT364,130,23,17.7,13073.17
Psychiatric,DPT681,124,22,17.7,16071.43
Dermatology,DPT478,124,22,17.7,11628.57
Endoscopy,DPT337,158,28,17.7,11674.42
Endoscopy,DPT478,113,20,17.7,12730.77
Cardiovascular,DPT902,130,23,17.7,12974.36
Urinary,DPT305,130,23,17.7,12222.22
Immunology,DPT110,142,25,17.6,12200.0
Urinary,DPT794,131,23,17.6,15083.33
Obstetrics,DPT915,165,29,17.6,11333.33
Congenital,DPT681,125,22,17.6,13085.71
Occupational Health,DPT802,142,25,17.6,12947.37
Urinary,DPT369,136,24,17.6,14357.14
Urinary,DPT364,148,26,17.6,13439.02
Metabolic Disorders,DPT369,119,21,17.6,13250.0
Allergy,DPT526,148,26,17.6,12973.68
Radiology,DPT412,119,21,17.6,12634.15
Ophthalmology,DPT681,125,22,17.6,11300.0
Neuromuscular,DPT418,125,22,17.6,11575.76
Oncology,DPT110,131,23,17.6,13515.15
Respiratory,DPT337,125,22,17.6,13533.33
Pain Management,DPT369,143,25,17.5,11461.54
Musculoskeletal,DPT589,154,27,17.5,10871.79
Reproductive - Female,DPT223,137,24,17.5,14050.0
Renal,DPT256,143,25,17.5,13163.27
Toxicology,DPT678,120,21,17.5,11285.71
Addiction,DPT902,143,25,17.5,13200.0
Neurological,DPT217,154,27,17.5,12333.33
Oral,DPT802,143,25,17.5,13636.36
Palliative,DPT731,160,28,17.5,11538.46
Immunology,DPT237,103,18,17.5,11807.69
Dermatology,DPT845,114,20,17.5,13333.33
Pediatrics,DPT859,137,24,17.5,16709.68
Autoimmune Disorders,DPT902,154,27,17.5,14097.56
Sleep Disorders,DPT237,120,21,17.5,15200.0
Reconstructive,DPT913,137,24,17.5,12431.82
Infectious,DPT103,143,25,17.5,11405.41
Dermatology,DPT589,161,28,17.4,13921.57
Cardiovascular,DPT217,155,27,17.4,10333.33
Preventive,DPT802,132,23,17.4,13361.11
Ophthalmology,DPT678,155,27,17.4,13939.39
Obstetrics,DPT859,155,27,17.4,10789.47
Allergy,DPT742,144,25,17.4,12170.21
Neuromuscular,DPT110,144,25,17.4,12026.32
Respiratory,DPT742,138,24,17.4,14051.28
Respiratory,DPT678,132,23,17.4,13457.14
Gastrointestinal,DPT478,144,25,17.4,13282.05
Oncology,DPT369,144,25,17.4,13977.78
Allergy,DPT859,138,24,17.4,10968.75
Oral,DPT337,121,21,17.4,13314.29
Renal,DPT915,149,26,17.4,14828.57
Immunology,DPT678,132,23,17.4,14617.65
Occupational Health,DPT915,156,27,17.3,13857.14
Immunology,DPT337,133,23,17.3,13031.25
Reproductive - Female,DPT104,110,19,17.3,14133.33
Trauma,DPT845,133,23,17.3,11054.05
Reproductive - Female,DPT845,133,23,17.3,11500.0
Sleep Disorders,DPT589,168,29,17.3,12632.65
Autoimmune Disorders,DPT217,150,26,17.3,11326.09
Infectious,DPT110,127,22,17.3,13547.62
Metabolic Disorders,DPT742,139,24,17.3,13571.43
Geriatrics,DPT103,127,22,17.3,10225.0
Pediatrics,DPT412,133,23,17.3,15000.0
Neuromuscular,DPT902,139,24,17.3,11055.56
Sleep Disorders,DPT478,110,19,17.3,12057.14
Addiction,DPT915,150,26,17.3,13324.32
Reconstructive,DPT256,127,22,17.3,13315.79
Renal,DPT412,104,18,17.3,15714.29
Radiology,DPT520,145,25,17.2,14526.32
Congenital,DPT256,145,25,17.2,13000.0
Ophthalmology,DPT478,116,20,17.2,15942.86
Geriatrics,DPT859,122,21,17.2,10937.5
Congenital,DPT119,134,23,17.2,14558.82
Hepatic,DPT915,145,25,17.2,15054.05
Occupational Health,DPT256,145,25,17.2,11656.25
Gastrointestinal,DPT913,116,20,17.2,14100.0
Autoimmune Disorders,DPT624,122,21,17.2,15523.81
Endocrine,DPT104,151,26,17.2,15606.06
Immunology,DPT915,157,27,17.2,14075.0
Infectious,DPT237,157,27,17.2,11625.0
Reproductive - Male,DPT418,151,26,17.2,10682.93
Gastrointestinal,DPT364,140,24,17.1,14303.03
Renal,DPT237,152,26,17.1,12023.81
Oral,DPT794,117,20,17.1,14529.41
Dermatology,DPT305,123,21,17.1,14272.73
Endoscopy,DPT237,123,21,17.1,12133.33
Urinary,DPT223,129,22,17.1,12727.27
Neuromuscular,DPT256,146,25,17.1,13282.05
Gastrointestinal,DPT305,105,18,17.1,13600.0
Reproductive - Male,DPT731,152,26,17.1,11750.0
Ophthalmology,DPT731,129,22,17.1,13485.71
Palliative,DPT915,146,25,17.1,12666.67
Psychiatric,DPT802,140,24,17.1,13647.06
Ophthalmology,DPT110,129,22,17.1,12885.71
Cardiovascular,DPT731,140,24,17.1,14170.73
Pain Management,DPT802,117,20,17.1,12593.75
Hematology,DPT418,170,29,17.1,12812.5
Infectious,DPT217,153,26,17.0,13500.0
Renal,DPT678,141,24,17.0,10823.53
Allergy,DPT412,112,19,17.0,8333.33
Radiology,DPT217,176,30,17.0,12177.78
Autoimmune Disorders,DPT742,141,24,17.0,11783.78
Occupational Health,DPT305,112,19,17.0,10121.21
Gastrointestinal,DPT223,135,23,17.0,12515.15
Cardiovascular,DPT364,153,26,17.0,13061.22
Metabolic Disorders,DPT103,135,23,17.0,10727.27
Immunology,DPT902,141,24,17.0,13534.88
Obstetrics,DPT256,147,25,17.0,12600.0
Cardiac Electrophysiology,DPT678,147,25,17.0,13037.74
Sleep Disorders,DPT223,135,23,17.0,13363.64
Gastrointestinal,DPT681,135,23,17.0,10809.52
Otolaryngology,DPT802,135,23,17.0,13062.5
Dermatology,DPT369,100,17,17.0,14062.5
Ophthalmology,DPT223,130,22,16.9,12892.86
Hematology,DPT913,124,21,16.9,11666.67
Dermatology,DPT223,148,25,16.9,11909.09
Pediatrics,DPT119,130,22,16.9,15972.97
Pain Management,DPT418,160,27,16.9,15948.72
Oncology,DPT913,130,22,16.9,12833.33
Endocrine,DPT478,130,22,16.9,11666.67
Urinary,DPT742,154,26,16.9,12219.51
Reconstructive,DPT520,130,22,16.9,14388.89
Reproductive - Female,DPT520,142,24,16.9,12388.89
Occupational Health,DPT902,142,24,16.9,12520.0
Otolaryngology,DPT913,130,22,16.9,13189.19
Trauma,DPT742,142,24,16.9,11525.0
Cardiac Electrophysiology,DPT902,161,27,16.8,14673.91
Occupational Health,DPT478,131,22,16.8,13153.85
Renal,DPT526,137,23,16.8,11736.84
Reproductive - Female,DPT364,137,23,16.8,12387.1
Neurological,DPT119,161,27,16.8,12300.0
Reproductive - Male,DPT364,143,24,16.8,13000.0
Endoscopy,DPT104,155,26,16.8,15083.33
Oral,DPT589,155,26,16.8,15066.67
Allergy,DPT902,137,23,16.8,11813.95
Congenital,DPT589,161,27,16.8,12976.74
Hepatic,DPT678,131,22,16.8,11000.0
Infectious,DPT589,155,26,16.8,15600.0
Psychiatric,DPT731,125,21,16.8,14750.0
Cardiovascular,DPT337,125,21,16.8,12729.17
Reproductive - Female,DPT624,119,20,16.8,12827.59
Geriatrics,DPT223,138,23,16.7,16631.58
Cardiovascular,DPT103,144,24,16.7,14368.42
Renal,DPT802,138,23,16.7,9707.32
Oncology,DPT794,144,24,16.7,13804.35
Renal,DPT418,168,28,16.7,14113.64
Psychiatric,DPT369,120,20,16.7,10212.12
Musculoskeletal,DPT418,156,26,16.7,13333.33
Occupational Health,DPT731,126,21,16.7,13689.66
Cardiovascular,DPT678,144,24,16.7,13378.38
Otolaryngology,DPT256,138,23,16.7,13816.33
Autoimmune Disorders,DPT412,114,19,16.7,11129.03
Cardiovascular,DPT742,150,25,16.7,13222.22
Autoimmune Disorders,DPT915,150,25,16.7,10700.0
Renal,DPT520,174,29,16.7,12162.79
Allergy,DPT794,138,23,16.7,12051.28
Pain Management,DPT526,126,21,16.7,13172.41
Oncology,DPT237,126,21,16.7,12421.05
Pain Management,DPT859,144,24,16.7,9864.86
Toxicology,DPT681,114,19,16.7,14875.0
Hepatic,DPT104,145,24,16.6,11857.14
Oral,DPT217,163,27,16.6,14804.88
Trauma,DPT859,151,25,16.6,12425.53
Neuromuscular,DPT520,151,25,16.6,12242.42
Pediatrics,DPT256,163,27,16.6,13931.82
Respiratory,DPT223,145,24,16.6,12342.86
Reproductive - Male,DPT119,158,26,16.5,10447.37
Reproductive - Male,DPT110,139,23,16.5,13677.42
Palliative,DPT681,127,21,16.5,12179.49
Hepatic,DPT103,133,22,16.5,13200.0
Metabolic Disorders,DPT794,139,23,16.5,12837.21
Oncology,DPT305,133,22,16.5,15324.32
Sleep Disorders,DPT742,127,21,16.5,13410.26
Respiratory,DPT624,127,21,16.5,14470.59
Musculoskeletal,DPT217,170,28,16.5,14456.52
Congenital,DPT369,121,20,16.5,13617.65
Addiction,DPT412,127,21,16.5,14605.26
Toxicology,DPT478,109,18,16.5,12148.15
Obstetrics,DPT802,121,20,16.5,12611.11
Urinary,DPT802,139,23,16.5,13590.91
Cardiac Electrophysiology,DPT103,139,23,16.5,12538.46
Palliative,DPT337,116,19,16.4,10774.19
Allergy,DPT731,140,23,16.4,14763.16
Geriatrics,DPT913,122,20,16.4,10628.57
Renal,DPT119,146,24,16.4,11947.37
Obstetrics,DPT794,140,23,16.4,13487.18
Palliative,DPT103,128,21,16.4,13028.57
Autoimmune Disorders,DPT119,140,23,16.4,12909.09
Respiratory,DPT526,152,25,16.4,14844.44
Neurological,DPT520,159,26,16.4,12406.25
Psychiatric,DPT915,159,26,16.4,10204.08
Preventive,DPT103,146,24,16.4,12948.72
Hematology,DPT412,129,21,16.3,14575.76
Geriatrics,DPT731,141,23,16.3,13810.81
Sleep Disorders,DPT802,129,21,16.3,13114.29
Infectious,DPT802,135,22,16.3,12522.73
Cardiovascular,DPT110,123,20,16.3,12333.33
Oral,DPT913,123,20,16.3,12200.0
Oncology,DPT418,153,25,16.3,13564.1
Endoscopy,DPT913,135,22,16.3,13270.27
Neuromuscular,DPT412,129,21,16.3,11615.38
Hepatic,DPT305,123,20,16.3,11964.29
Trauma,DPT119,141,23,16.3,11300.0
Neurological,DPT256,135,22,16.3,11428.57
Hematology,DPT526,123,20,16.3,13939.39
Infectious,DPT845,129,21,16.3,13166.67
Allergy,DPT217,153,25,16.3,13702.7
Gastrointestinal,DPT237,142,23,16.2,12162.79
Reproductive - Female,DPT369,136,22,16.2,15419.35
Radiology,DPT526,136,22,16.2,14314.29
Addiction,DPT217,167,27,16.2,16342.86
Neuromuscular,DPT223,111,18,16.2,12785.71
Respiratory,DPT794,130,21,16.2,14638.89
Autoimmune Disorders,DPT103,148,24,16.2,15027.78
Dermatology,DPT520,154,25,16.2,12200.0
Endoscopy,DPT364,117,19,16.2,12645.16
Musculoskeletal,DPT913,130,21,16.2,14200.0
Dermatology,DPT119,136,22,16.2,12404.76
Urinary,DPT119,148,24,16.2,12574.47
Respiratory,DPT104,142,23,16.2,12388.89
Renal,DPT110,143,23,16.1,12256.41
Cardiovascular,DPT526,143,23,16.1,13648.65
Radiology,DPT802,137,22,16.1,15486.49
Geriatrics,DPT364,124,20,16.1,11645.16
Addiction,DPT223,155,25,16.1,10121.21
Hematology,DPT217,137,22,16.1,11382.35
Metabolic Disorders,DPT223,143,23,16.1,12757.58
Preventive,DPT913,149,24,16.1,15439.02
Reproductive - Male,DPT859,149,24,16.1,11500.0
Reproductive - Male,DPT412,112,18,16.1,12535.71
Geriatrics,DPT794,137,22,16.1,11214.29
Toxicology,DPT731,124,20,16.1,14000.0
Reconstructive,DPT802,137,22,16.1,13906.25
Dermatology,DPT103,143,23,16.1,13512.2
Neuromuscular,DPT681,118,19,16.1,15133.33
Reproductive - Female,DPT742,162,26,16.0,12589.74
Pediatrics,DPT802,119,19,16.0,14702.7
Reconstructive,DPT223,131,21,16.0,11848.48
Endoscopy,DPT412,106,17,16.0,12464.29
Sleep Disorders,DPT624,144,23,16.0,13638.89
Cardiac Electrophysiology,DPT418,156,25,16.0,11431.82
Allergy,DPT364,131,21,16.0,11312.5
Musculoskeletal,DPT369,119,19,16.0,13583.33
Congenital,DPT337,156,25,16.0,14021.74
Autoimmune Disorders,DPT256,125,20,16.0,10566.67
Respiratory,DPT305,125,20,16.0,12606.06
Dermatology,DPT104,132,21,15.9,14511.63
Respiratory,DPT369,126,20,15.9,15195.12
Hematology,DPT681,107,17,15.9,12071.43
Oral,DPT681,113,18,15.9,12444.44
Hepatic,DPT337,126,20,15.9,11482.76
Otolaryngology,DPT217,138,22,15.9,12125.0
Infectious,DPT902,132,21,15.9,12558.14
Cardiovascular,DPT794,132,21,15.9,11368.42
Urinary,DPT110,157,25,15.9,11976.74
Geriatrics,DPT256,157,25,15.9,12583.33
Gastrointestinal,DPT731,151,24,15.9,10681.82
Pain Management,DPT217,157,25,15.9,13744.19
Palliative,DPT624,146,23,15.8,14307.69
Renal,DPT305,133,21,15.8,12235.29
Toxicology,DPT369,139,22,15.8,14000.0
Otolaryngology,DPT520,133,21,15.8,12235.29
Allergy,DPT110,133,21,15.8,11114.29
Obstetrics,DPT305,121,19,15.7,14560.98
Toxicology,DPT624,121,19,15.7,12861.11
Neuromuscular,DPT119,140,22,15.7,12500.0
Infectious,DPT305,127,20,15.7,10677.42
Pediatrics,DPT104,134,21,15.7,11971.43
Otolaryngology,DPT104,134,21,15.7,12875.0
Musculoskeletal,DPT412,127,20,15.7,12740.74
Sleep Disorders,DPT859,134,21,15.7,12218.75
Pain Management,DPT110,135,21,15.6,12636.36
Cardiovascular,DPT478,109,17,15.6,10333.33
Toxicology,DPT305,109,17,15.6,12200.0
Addiction,DPT681,135,21,15.6,13437.5
Neurological,DPT103,135,21,15.6,13648.65
Neurological,DPT364,141,22,15.6,13219.51
Endoscopy,DPT589,160,25,15.6,13166.67
Pain Management,DPT845,128,20,15.6,13304.35
Cardiovascular,DPT681,122,19,15.6,12000.0
Cardiac Electrophysiology,DPT104,128,20,15.6,12222.22
Toxicology,DPT256,141,22,15.6,11472.22
Musculoskeletal,DPT731,128,20,15.6,12333.33
Oral,DPT369,155,24,15.5,14121.95
Geriatrics,DPT478,129,20,15.5,14428.57
Reconstructive,DPT418,155,24,15.5,12023.26
Allergy,DPT520,148,23,15.5,13052.63
Radiology,DPT731,142,22,15.5,14095.24
Infectious,DPT681,110,17,15.5,10193.55
Reproductive - Male,DPT520,148,23,15.5,14060.0
Pediatrics,DPT794,116,18,15.5,13300.0
Neuromuscular,DPT237,110,17,15.5,11825.0
Ophthalmology,DPT845,130,20,15.4,13100.0
Respiratory,DPT119,149,23,15.4,13239.13
Reproductive - Male,DPT223,143,22,15.4,12677.42
Toxicology,DPT526,143,22,15.4,15000.0
Pain Management,DPT742,123,19,15.4,13275.86
Musculoskeletal,DPT237,117,18,15.4,14000.0
Addiction,DPT364,130,20,15.4,14333.33
Reconstructive,DPT589,163,25,15.3,14805.56
Allergy,DPT913,137,21,15.3,14481.48
Radiology,DPT681,131,20,15.3,14925.0
Palliative,DPT217,144,22,15.3,14592.59
Addiction,DPT624,150,23,15.3,13736.84
Congenital,DPT845,131,20,15.3,13448.28
Obstetrics,DPT731,137,21,15.3,12853.66
Cardiac Electrophysiology,DPT305,124,19,15.3,12096.77
Gastrointestinal,DPT110,111,17,15.3,13900.0
Infectious,DPT364,144,22,15.3,16354.84
Radiology,DPT845,150,23,15.3,14027.03
Oral,DPT478,118,18,15.3,12103.45
Reproductive - Male,DPT305,124,19,15.3,13696.97
Urinary,DPT478,132,20,15.2,13842.11
Oncology,DPT589,164,25,15.2,12116.28
Reconstructive,DPT681,112,17,15.2,13125.0
Preventive,DPT624,125,19,15.2,12000.0
Endocrine,DPT256,145,22,15.2,13571.43
Reconstructive,DPT337,138,21,15.2,15307.69
Respiratory,DPT418,178,27,15.2,12055.56
Pediatrics,DPT369,158,24,15.2,13090.91
Gastrointestinal,DPT337,132,20,15.2,10588.24
Otolaryngology,DPT364,112,17,15.2,14444.44
Neuromuscular,DPT305,112,17,15.2,11218.75
Oncology,DPT223,132,20,15.2,12379.31
Congenital,DPT526,152,23,15.1,13980.0
Congenital,DPT913,139,21,15.1,13305.56
Ophthalmology,DPT364,119,18,15.1,9360.0
Otolaryngology,DPT369,127,19,15.0,11500.0
Occupational Health,DPT845,133,20,15.0,11121.95
Palliative,DPT369,133,20,15.0,14738.1
Dermatology,DPT337,153,23,15.0,12000.0
Occupational Health,DPT104,160,24,15.0,13208.33
Cardiac Electrophysiology,DPT217,160,24,15.0,12644.44
Sleep Disorders,DPT337,127,19,15.0,14214.29
Endocrine,DPT305,134,20,14.9,12720.0
Endoscopy,DPT902,141,21,14.9,12413.04
Cardiovascular,DPT624,155,23,14.8,13511.63
Reconstructive,DPT526,135,20,14.8,13851.85
Neurological,DPT624,135,20,14.8,13771.43
Oncology,DPT520,162,24,14.8,12750.0
Neurological,DPT589,169,25,14.8,15693.88
Gastrointestinal,DPT418,142,21,14.8,12000.0
Urinary,DPT731,142,21,14.8,11764.71
Trauma,DPT478,128,19,14.8,12765.96
Autoimmune Disorders,DPT520,150,22,14.7,9529.41
Occupational Health,DPT223,129,19,14.7,14062.5
Hepatic,DPT478,109,16,14.7,11064.52
Endoscopy,DPT217,143,21,14.7,15171.43
Neurological,DPT337,130,19,14.6,13767.44
Psychiatric,DPT256,171,25,14.6,12968.25
Ophthalmology,DPT742,137,20,14.6,10710.53
Reconstructive,DPT412,123,18,14.6,12400.0
Dermatology,DPT412,130,19,14.6,14551.72
Metabolic Disorders,DPT526,138,20,14.5,13354.84
Pain Management,DPT237,117,17,14.5,11600.0
Hepatic,DPT520,145,21,14.5,14682.93
Addiction,DPT418,172,25,14.5,13632.65
Toxicology,DPT418,166,24,14.5,13700.0
Gastrointestinal,DPT845,145,21,14.5,11761.9
Otolaryngology,DPT915,152,22,14.5,12361.11
Immunology,DPT223,118,17,14.4,11861.11
Infectious,DPT520,118,17,14.4,13031.25
Dermatology,DPT624,132,19,14.4,15451.61
Congenital,DPT742,153,22,14.4,14500.0
Preventive,DPT217,153,22,14.4,14577.78
Oral,DPT902,118,17,14.4,16562.5
Congenital,DPT217,153,22,14.4,13325.0
Immunology,DPT104,111,16,14.4,12925.93
Trauma,DPT526,146,21,14.4,14433.96
Geriatrics,DPT902,133,19,14.3,11729.73
Pediatrics,DPT237,126,18,14.3,13500.0
Gastrointestinal,DPT589,154,22,14.3,11854.17
Autoimmune Disorders,DPT913,105,15,14.3,13451.61
Autoimmune Disorders,DPT237,126,18,14.3,12933.33
Reproductive - Male,DPT237,126,18,14.3,13194.44
Preventive,DPT364,141,20,14.2,12322.58
Trauma,DPT305,120,17,14.2,12264.71
Geriatrics,DPT624,134,19,14.2,11848.48
Endoscopy,DPT802,120,17,14.2,13176.47
Immunology,DPT624,155,22,14.2,13057.14
Cardiac Electrophysiology,DPT369,120,17,14.2,15928.57
Trauma,DPT104,134,19,14.2,16725.0
Palliative,DPT742,149,21,14.1,14500.0
Otolaryngology,DPT624,128,18,14.1,10600.0
Ophthalmology,DPT104,128,18,14.1,9343.75
Otolaryngology,DPT859,142,20,14.1,13411.76
Addiction,DPT526,149,21,14.1,11315.79
Toxicology,DPT103,135,19,14.1,12216.22
Psychiatric,DPT845,129,18,14.0,12707.32
Oncology,DPT742,121,17,14.0,13000.0
Respiratory,DPT845,157,22,14.0,13121.95
Musculoskeletal,DPT103,136,19,14.0,13421.05
Immunology,DPT418,144,20,13.9,11255.81
Musculoskeletal,DPT305,137,19,13.9,14911.76
Neurological,DPT845,152,21,13.8,11735.29
Endoscopy,DPT624,123,17,13.8,14631.58
Endocrine,DPT742,138,19,13.8,13692.31
Respiratory,DPT237,123,17,13.8,11794.87
Congenital,DPT859,139,19,13.7,11405.41
Endocrine,DPT589,161,22,13.7,13000.0
Obstetrics,DPT104,117,16,13.7,14928.57
Pediatrics,DPT915,153,21,13.7,12311.11
Metabolic Disorders,DPT845,139,19,13.7,12923.08
